eatery_name,block,building_name,street_name,postal_code,floor_no,unit_no,address_type,description,hyperlink,photo_url,lon,lat,geometry
Lee Wee & Brothers' Foodstuff Pte Ltd,42,,Lorong 1 Realty Park,536959,,,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89026484822054,1.3676338994058093,POINT (103.89026484822054 1.3676338994058093)
Liang Food Caterer,5,,Swan Lake Avenue Opera Estate,455704,,,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.92422074606414,1.3210479316016595,POINT (103.92422074606414 1.3210479316016595)
Long John Silver's - Admiralty,676,Admiralty,Woodlands Drive,730676,1,"5, 12",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.80057346517377,1.439777011372078,POINT (103.80057346517377 1.439777011372078)
Long John Silver's - Bedok Heartbeat,11,Bedok Heartbeat,Bedok North Street 1,469662,1,13,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.93162062157725,1.326984988484482,POINT (103.93162062157725 1.326984988484482)
Long John Silver's - Commonwealth,88,Commonwealth,Tanglin Halt Road,141088,1,9,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.79802174887202,1.302038017342879,POINT (103.79802174887202 1.302038017342879)
Long John Silver's - Eastpoint Mall,3,Eastpoint Mall,Simei Street 6,528833,1,32,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.95302450382567,1.3427061864390135,POINT (103.95302450382567 1.3427061864390135)
Long John Silver's - Hillion Mall,17,Hillion Mall,Petir Road,678278,B1,"57, 58, 59",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76274117629025,1.378349712608652,POINT (103.76274117629025 1.378349712608652)
Long John Silver's - Hougang Mall,90,Hougang Mall,Hougang Avenue 10,538766,B1,"27, 28",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89366161203019,1.3723118564295886,POINT (103.89366161203019 1.3723118564295886)
Long John Silver's - Jurong Point,63,Jurong Point,Jurong West Central,648331,3,"9, 10, 11",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.70535100057792,1.3393150339641773,POINT (103.70535100057792 1.3393150339641773)
Long John Silver's - Northpoint,930,Northpoint,Yishun Avenue 2,769098,1,14,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83577649668752,1.4296984796948546,POINT (103.83577649668752 1.4296984796948546)
Long John Silver's - Rivervale Mall,11,Rivervale Mall,Rivervale Crescent,545082,1,28A,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.90447160217909,1.3921977763390827,POINT (103.90447160217909 1.3921977763390827)
Long John Silver's - Spore Post Ctr,10,SingPost Centre,Eunos Road,408600,1,149,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89406716369284,1.3188561026013412,POINT (103.89406716369284 1.3188561026013412)
Long John Silver's - Tai Seng,18,Tai Seng,Tai Seng Street,539775,1,"31, 32 & K7",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.88871577907987,1.3363564889745077,POINT (103.88871577907987 1.3363564889745077)
Long John Silver's - Tampines Mall,4,Tampines Mall,Tampines Central 5,529510,4,"23, 24, 25",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.94438798732376,1.3526723159069913,POINT (103.94438798732376 1.3526723159069913)
Long John Silver's - Tiong Bahru Plaza,302,Tiong Bahru Plaza,Tiong Bahru Road,168732,1,160,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.82693508428726,1.2864634531868742,POINT (103.82693508428726 1.2864634531868742)
Long John Silver's - West Coast Plaza,154,West Coast Plaza,West Coast Road,127371,B1,49,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76528452020594,1.3035826814823714,POINT (103.76528452020594 1.3035826814823714)
Long John Silver's - Westgate,3,Westgate,Gateway Drive,608532,B1,10,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74258601774642,1.3340252874545433,POINT (103.74258601774642 1.3340252874545433)
Long John Silver's - Wisteria Mall,598,Wisteria Mall,Wisteria Mall,768698,1,"17, 18, 55, 56",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84123645977593,1.4179992555656573,POINT (103.84123645977593 1.4179992555656573)
Long John Silver's - Wood Square,6,Wood Square,Woodlands Square,737737,B2,19,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.78584547474202,1.435145555072411,POINT (103.78584547474202 1.435145555072411)
Long John Silver's - Yew Tee Point,21,Yew Tee Point,Choa Chua Kang North 6,689578,B1,"36, 38, 39",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74644320796418,1.3969699225975805,POINT (103.74644320796418 1.3969699225975805)
LPH Catering - South Buona Vista,4008,South Buona Vista,Depot Lane,118176,1,88,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.78860070615694,1.2834845933044146,POINT (103.78860070615694 1.2834845933044146)
Luna Concept Pte Ltd (previously known as Gustos),39,,Mactaggart Road,368330,,,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.88254250694891,1.3357976906913862,POINT (103.88254250694891 1.3357976906913862)
Lye Heng Food Supplies Pte. Ltd.,15,,Woodlands Loop,738322,4,22,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.80914089275677,1.4486086232678637,POINT (103.80914089275677 1.4486086232678637)
Ma Mum - KKH,100,KKH,Bukit Timah Road,229899,1,"32, 33",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84665008135974,1.3104485270984831,POINT (103.84665008135974 1.3104485270984831)
Ma Mum - Ng Teng Fong Hospital,1,Ng Teng Fong Hospital,Jurong East Street 21,609606,2,"2, 3",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74386545497144,1.335533819151444,POINT (103.74386545497144 1.335533819151444)
Makan Mate Catering - Hong Kong Street,35-B,Hong Kong Street,Fishery Port Road,059654,,,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84758779219393,1.2876426460558028,POINT (103.84758779219393 1.2876426460558028)
Manna Pot Catering Pte Ltd,3015,,Bedok North Street 5,486350,6,"16, 17",E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.94742905026176,1.3367509405404536,POINT (103.94742905026176 1.3367509405404536)
Marche - 313 @ Somerset (marketplace),313,313 @ Somerset,Orchard Road,238895,B1,39-46,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83768435842345,1.3013850949010384,POINT (103.83768435842345 1.3013850949010384)
Marche - JEM,50,JEM,Jurong Gateway Road,608549,1,3,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74317043629249,1.3332002103833094,POINT (103.74317043629249 1.3332002103833094)
Marche - Suntec City (marketplace),3,Suntec City,Temasek Boulevard,038983,1,612,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85767549794905,1.2948790411732742,POINT (103.85767549794905 1.2948790411732742)
Marche - Vivo City,1,Vivo City,Harbourfront Walk,098585,3,14,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.82158925490758,1.2638958023182996,POINT (103.82158925490758 1.2638958023182996)
Marina Bay Sands Expo & Convention Centre,10,Marina Bay Sands,Bayfront Avenue,018956,,,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85830838860707,1.2823333509822565,POINT (103.85830838860707 1.2823333509822565)
Masjid Al-Mawaddah Caf�,151,,Compassvale Bow,544997,,,I,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89023600926421,1.3834404383367476,POINT (103.89023600926421 1.3834404383367476)
McDonald's - Admiralty,678A,Admiralty,Woodlands Avenue 6,731678,1,"5, 678A",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.80148947255785,1.4404152980339742,POINT (103.80148947255785 1.4404152980339742)
McDonald's - Alocassia,383,Alocassia,Bukit Timah Road,259727,1,"9C, K1",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.82729759998162,1.3194644084575058,POINT (103.82729759998162 1.3194644084575058)
McDonald's - Ang Mo Kio,51,Ang Mo Kio,Ang Mo Kio Avenue 3,569922,1,4,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84715393368374,1.3693151750002213,POINT (103.84715393368374 1.3693151750002213)
McDonald's - Ang Mo Kio Ave 10,448,Ang Mo Kio Ave 10,Ang Mo Kio Avenue 10,560448,1,1693,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85639660627969,1.3674419010663734,POINT (103.85639660627969 1.3674419010663734)
McDonald's - Ang Mo Kio Park,740,Ang Mo Kio Park,Ang Mo Kio Street 10,567740,,,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84473812811844,1.3724128524331176,POINT (103.84473812811844 1.3724128524331176)
McDonald's - Beauty World,144,Beauty World,Upper Bukit Timah Road,588177,1,"39, 40",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.7762505313525,1.3423928402745913,POINT (103.7762505313525 1.3423928402745913)
McDonald's - Bedok Mall,311,Bedok Mall,New Upper Changi Road,467360,1,"10, 11",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.92918207824476,1.3247936071073965,POINT (103.92918207824476 1.3247936071073965)
McDonald's - Bedok North,539,Bedok North,Bedok North Street 3,460539,1,643,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.92530729390305,1.3313138624999532,POINT (103.92530729390305 1.3313138624999532)
McDonald's - Bedok Reservior,744,Bedok Reservoir,Bedok Reservoir,470744,1,3019,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.92166331056019,1.337860417851218,POINT (103.92166331056019 1.337860417851218)
McDonald's - Bedok Reservoir,632,Bedok Reservoir,Bedok Reservoir Road,470632,1,850,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.91414508257893,1.332050943479469,POINT (103.91414508257893 1.332050943479469)
McDonald's - Bendemeer,22,Bendemeer,Boon Keng Road,330022,1,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.86140380381032,1.3181764214380967,POINT (103.86140380381032 1.3181764214380967)
McDonald's - Bishan Park,1378,Bishan Park,Ang Mo Kio Avenue 1,569981,,,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84661341842094,1.361097524471627,POINT (103.84661341842094 1.361097524471627)
McDonald's - Boat Quay,1,Boat Quay,South Canal Road,048508,,,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84983630992689,1.2857888598893057,POINT (103.84983630992689 1.2857888598893057)
McDonald's - Bugis Junction,230,Bugis Junction,Victoria Street,188024,1,66,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85592356324162,1.2998163898248685,POINT (103.85592356324162 1.2998163898248685)
McDonald's - Bugis Village,151,Bugis Village,Rochor Road,188426,,,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85524217364377,1.3008988453900172,POINT (103.85524217364377 1.3008988453900172)
McDonald's - Bukit Batok,632,Bukit Batok,Bukit Batok Central,650632,1,"138, 140, 142",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.75053865968874,1.3494121804591892,POINT (103.75053865968874 1.3494121804591892)
Hockhua Tonic (95 Aljunied Crescent),95,95 Aljunied Crescent,Aljunied Crescent,380095,1,515,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.88619569085192,1.3217032835769191,POINT (103.88619569085192 1.3217032835769191)
Hockhua Tonic (960 Jurong West),960,960 Jurong West,Jurong West Street 92,640960,1,170,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.69145964815456,1.3413853033879823,POINT (103.69145964815456 1.3413853033879823)
Hockhua Tonic (AMK Hub),53,AMK Hub,Ang Mo Kio Avenue 3,569933,B2,39,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84839922748421,1.3692489128202083,POINT (103.84839922748421 1.3692489128202083)
Hockhua Tonic (Bedok Mall),311,Bedok Mall,New Upper Changi Road,467360,B2,"17, 18",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.92918207824476,1.3247936071073965,POINT (103.92918207824476 1.3247936071073965)
Hockhua Tonic (Bukit Panjang Plaza),1,Bukit Panjang Plaza,Jelebu Road,677743,1,"10, 11",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.7639618526176,1.3805173281591343,POINT (103.7639618526176 1.3805173281591343)
HockHua Tonic (Bukit Timah Plaza),1,Bukit Timah Plaza,Jalan Anak Bukit,588996,B2,"9, 10, 11",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.7785604701992,1.3386567691306113,POINT (103.7785604701992 1.3386567691306113)
Hockhua Tonic (Chinatown Point),133,Chinatown Point,New Bridge Road,059413,B1,36,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84469708539508,1.28499882771297,POINT (103.84469708539508 1.28499882771297)
Hockhua Tonic (City Square Mall),180,City Square Mall,Kitchener Road,208539,B1,28,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85642177190559,1.311305164797135,POINT (103.85642177190559 1.311305164797135)
Hockhua Tonic (Compass One),1,Compass One,Sengkang Square,545078,B1,24,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89498003255373,1.3920941501822652,POINT (103.89498003255373 1.3920941501822652)
Hockhua Tonic (East Point),2,East Point,Simei Street 6,528833,4,"1, 2",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.95302450382567,1.3427061864390135,POINT (103.95302450382567 1.3427061864390135)
Hockhua Tonic (Great World City),1,Great World City,Kim Seng Promenade,237994,B1,"116, 117",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83175791999047,1.2938023464451172,POINT (103.83175791999047 1.2938023464451172)
Hockhua Tonic (Hougang 1),1,Hougang 1,Hougang Street 91,538692,1,"9, 10",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87930002409627,1.3758499733850322,POINT (103.87930002409627 1.3758499733850322)
Hockhua Tonic (Jem),50,JEM,Jurong Gateway Road,608549,B1,34,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74317043629249,1.3332002103833094,POINT (103.74317043629249 1.3332002103833094)
Hockhua Tonic (Junction 8),9,Junction 8,Bishan Place,579837,B1,9,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.8484300826872,1.3501724268530262,POINT (103.8484300826872 1.3501724268530262)
Hockhua Tonic (Jurong Point),1,Jurong Point,Jurong West Central,648886,B1,40,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.70646088413002,1.3398301525794094,POINT (103.70646088413002 1.3398301525794094)
Hockhua Tonic (Leisure Park),5,Leisure Park,Stadium Walk,397693,B1,12,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87615267039712,1.3022217711475137,POINT (103.87615267039712 1.3022217711475137)
Hockhua Tonic (Loyang Point),258,Loyang Point,Pasir Ris Street 21,510258,1,2,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.96461778192575,1.3670005378337675,POINT (103.96461778192575 1.3670005378337675)
Hockhua Tonic (NEX),23,NEX,Serangoon Central,556083,3,3,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87170454944983,1.3504381717743241,POINT (103.87170454944983 1.3504381717743241)
Hockhua Tonic (Northpoint City),930,Northpoint City,Yishun Avenue 2,769098,B1,55,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83577649668752,1.4296984796948546,POINT (103.83577649668752 1.4296984796948546)
Hockhua Tonic (Seletar Mall),33,Seletar Mall,Sengkang West Avenue,797653,B2,"1, 2",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87606765768867,1.3913930581561351,POINT (103.87606765768867 1.3913930581561351)
Hockhua Tonic (SingPost Centre),10,SingPost Centre,Eunos Road,408600,B1,123,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89406716369284,1.3188561026013412,POINT (103.89406716369284 1.3188561026013412)
Hockhua Tonic (Sun Plaza),30,Sun Plaza,Sembawang Drive,757713,B1,"24, 25",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.81946210452817,1.44822653184261,POINT (103.81946210452817 1.44822653184261)
Hockhua Tonic (Tampines Mall),4,Tampines Mall,Tampines Central 5,529510,B1,13A,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.94438798732376,1.3526723159069913,POINT (103.94438798732376 1.3526723159069913)
Hockhua Tonic (Thomson Plaza),301,Thomson Plaza,Upper Thomson Road,574408,1,99,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83091978573026,1.3546690188205082,POINT (103.83091978573026 1.3546690188205082)
Hockhua Tonic (Tiong Bahru Plaza),302,Tiong Bahru Plaza,Tiong Bahru Road,168732,B1,129,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.82693508428726,1.2864634531868742,POINT (103.82693508428726 1.2864634531868742)
Hockhua Tonic (Waterway Point),83,Waterway Point,Punggol Central,828761,B2,30,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.90198817400872,1.4065361072059912,POINT (103.90198817400872 1.4065361072059912)
Hockhua Tonic (West Mall),1,West Mall,Bukit Batok Central Link,658713,B1,6,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74902198003052,1.3501891598296702,POINT (103.74902198003052 1.3501891598296702)
Hockhua Tonic (Wisteria Mall),598,Wisteria Mall,Yishun Ring Road,768698,1,"3, 4",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84123645977593,1.4179992555656573,POINT (103.84123645977593 1.4179992555656573)
Hockhua Tonic (Yew Tee Point),21,Yew Tee Point,Choa Chu Kang North 6,689578,B1,23,K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74644320796418,1.3969699225975805,POINT (103.74644320796418 1.3969699225975805)
Hockhua Tonic (Zhongshan Mall),20,Zhongshan Mall,Ah Hood Road,329984,1,"22, 23",K,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84649087461517,1.327029906263838,POINT (103.84649087461517 1.327029906263838)
How's Catering - Food Xchange @ Admiralty,8A,Food Xchange @ Admiralty,Admiralty Street,757437,3,21,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.81424738591886,1.4630356650457046,POINT (103.81424738591886 1.4630356650457046)
Huggs Coffee - TTSH,11,TTSH,Jalan Tan Tock Seng,308433,1,2,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84538901427474,1.3217159767281235,POINT (103.84538901427474 1.3217159767281235)
Hungry Indian,246,,Macpherson Road,348578,7,4,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87599958332116,1.329924689253903,POINT (103.87599958332116 1.329924689253903)
Idaten Udon - Causeway Point,1,Causeway Point,Woodlands Square,738099,B1,17,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.78568873923535,1.4360078451714806,POINT (103.78568873923535 1.4360078451714806)
Idaten Udon - Changi City Point,5,Changi City Point,Changi Business Park Central 1,486038,B1,"12, 13",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.96238930319517,1.3343251560098164,POINT (103.96238930319517 1.3343251560098164)
Idaten Udon - Jurong Point,1,Jurong Point,Jurong West Central 2,648886,B1,50,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.70646088413002,1.3398301525794094,POINT (103.70646088413002 1.3398301525794094)
Idaten Udon - NEX,23,NEX,Serangoon Central,556083,B1,2,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87170454944983,1.3504381717743241,POINT (103.87170454944983 1.3504381717743241)
iFood Pte Ltd - Providence Cafe and Bakery,99,,Sims Close,387298,5,10,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.87754432365419,1.3158345059056527,POINT (103.87754432365419 1.3158345059056527)
Imperial Court Pte. Ltd.,190,,Ang Mo Kio Avenue 8,568046,3,1,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.8464996285719,1.3807084722441076,POINT (103.8464996285719 1.3807084722441076)
Intercontinental Catering - Office,171,,Kampong Ampat,368330,5,18,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.88254250694891,1.3357976906913862,POINT (103.88254250694891 1.3357976906913862)
International Catering - KA Foodlink,171,KA Foodlink,Kampong Ampat,368330,3,12,E,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.88254250694891,1.3357976906913862,POINT (103.88254250694891 1.3357976906913862)
Ivegan Pte Ltd - thomson plaza outlet,301,Thomson Plaza,Upper Thomson Road,574408,1,109,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83091978573026,1.3546690188205082,POINT (103.83091978573026 1.3546690188205082)
Jack's Place - 321 Clementi,321,321 Clementi,Clementi Avenue 3,129905,2,10,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76496054575813,1.3120249142274998,POINT (103.76496054575813 1.3120249142274998)
Jack's Place - Anchor Point,370,Anchor Point,Alexandra Road,159953,1,"9, 10",R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.80500996517391,1.2886146874019828,POINT (103.80500996517391 1.2886146874019828)
Jack's Place - Ang Mo Kio,730,Ang Mo Kio,Ang Mo Kio Avenue 6,560730,,,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84576515816133,1.3734336836921461,POINT (103.84576515816133 1.3734336836921461)
Jack's Place - Bras Basah Complex,231,Bras Basah Complex,Bain Street,180231,1,1,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85352579823213,1.2970130504394064,POINT (103.85352579823213 1.2970130504394064)
Jack's Place - Compass One,1,Compass One,Sengkang Square,545078,4,7,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89498003255373,1.3920941501822652,POINT (103.89498003255373 1.3920941501822652)
Jack's Place - JEM,50,JEM,Jurong Gateway Road,608549,4,15,R,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.74317043629249,1.3332002103833094,POINT (103.74317043629249 1.3332002103833094)
McDonald's - Bukit Batok West,152,Bukit Batok West,Bukit Batok Street 11,650152,1,280,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.7442572696772,1.3483018900431187,POINT (103.7442572696772 1.3483018900431187)
McDonald's - Bukit Gombak,374,Bukit Gombak,Bukit Batok Street 31,650374,1,"198, 202",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.75071967747698,1.3580992723686354,POINT (103.75071967747698 1.3580992723686354)
McDonald's - Bukit Panjang Plaza,1,Bukit Panjang Plaza,Jelebu Road,677743,2,1,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.7639618526176,1.3805173281591343,POINT (103.7639618526176 1.3805173281591343)
McDonald's - Causeway Point,1,Causeway Point,Woodlands Square,738099,1,35,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.78568873923535,1.4360078451714806,POINT (103.78568873923535 1.4360078451714806)
McDonald's - Changi Airport T2,643,Changi Airport Terminal 2,Airport Bouvelard,819643,,,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.98875098124995,1.3551909404722244,POINT (103.98875098124995 1.3551909404722244)
McDonald's - Changi Airport T2 Transit Lounge,643,Changi Airport Terminal 2 Transit Lounge,Airport Bouvelard,819643,36,70,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.98875098124995,1.3551909404722244,POINT (103.98875098124995 1.3551909404722244)
McDonald's - Changi Airport T3,663,Changi Airport Terminal 3,Airport Bouvelard,819663,1,3,Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.98516965326814,1.3543707361736084,POINT (103.98516965326814 1.3543707361736084)
McDonald's - Changi City Point,5,Changi City Point,Changi Business Park Central 1,486038,1,"10, 11",Q,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.96238930319517,1.3343251560098164,POINT (103.96238930319517 1.3343251560098164)
Starbucks - Bukit Panjang Plaza,1,Bukit Panjang Plaza,Jelebu Road,677743,2,"9, 9A",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.7639618526176,1.3805173281591343,POINT (103.7639618526176 1.3805173281591343)
Starbucks - Capital Tower,168,Capital Tower,Robinson Road,068912,1,"1, 2",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84752267147184,1.2777117973826078,POINT (103.84752267147184 1.2777117973826078)
Starbucks - Centrepoint,176,Centrepoint,Orchard Road,238843,1,"41, 42",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.83975902780261,1.301978366401113,POINT (103.83975902780261 1.301978366401113)
Starbucks - Changi City Point,5,Changi City Point,Changi Business Park Central 1,486038,1,25,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.96238930319517,1.3343251560098164,POINT (103.96238930319517 1.3343251560098164)
Starbucks - Changi General Hospital,2,Changi General Hospital,Simei Street 3,529889,1,,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.94929439368703,1.340684739736665,POINT (103.94929439368703 1.340684739736665)
Starbucks - Chinatown Point,133,Chinatown Point,New Bridge Road,059413,1,8,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84469708539508,1.28499882771297,POINT (103.84469708539508 1.28499882771297)
Starbucks - Cintech IV,79,Cintech IV,Science Park Drive,118264,1,3,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.79045733477992,1.2895634895184802,POINT (103.79045733477992 1.2895634895184802)
Starbucks - City House,36,City House,Robinson Road,068877,1,2,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.84977096765542,1.2812159112462134,POINT (103.84977096765542 1.2812159112462134)
Starbucks - City Square Mall,180,City Square Mall,Kitchener Road,208539,1,38,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85642177190559,1.311305164797135,POINT (103.85642177190559 1.311305164797135)
Starbucks - CityLink Mall,393,CityLink Mall,One Raffles Link,039393,B1,"15, 17",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.85417350147785,1.2927777231171085,POINT (103.85417350147785 1.2927777231171085)
Starbucks - Clementi Mall,3155,Clementi Mall,Commonwealth Avenue West,129588,3,"K1, K3",C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.76424820566152,1.3148532180225951,POINT (103.76424820566152 1.3148532180225951)
Starbucks - Compass One,1,Compass One,Sengkang Square,545078,1,6,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.89498003255373,1.3920941501822652,POINT (103.89498003255373 1.3920941501822652)
Starbucks - Concourse,300,Concourse,Beach Road,199555,,,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.86248405960475,1.3010109164943142,POINT (103.86248405960475 1.3010109164943142)
Starbucks - Coronation Shopping Plaza,587,Coronation Shopping Plaza,Bukit Timah,269707,1,3,C,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,103.80999957225896,1.323835121382072,POINT (103.80999957225896 1.323835121382072)
